sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
21/05/2016,29/05/2016,China,CHN,"Sichuan Sheng, Yunnan Sheng, Guizhou Sheng, Hunan Sheng, Hubei Sheng, Anhui Sheng, Zhejiang Sheng provinces",,,,Km2,Flood,--,--,--,17,0,69000,0,,2016-0198
24/06/2016,24/06/2016,China,CHN,"Jiangsu Sheng, Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",,,125,Kph,Storm,"Convective storm",--,--,102,46000,302000,0,,2016-0209
02/06/2016,08/06/2016,China,CHN,"Shanxi Sheng, Henan Sheng, Hebei Sheng, Hubei Sheng, Sichuan Sheng, Shanxi Sheng, Jilin Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",,,,Kph,Storm,"Convective storm",Hail,--,12,150000,768000,0,,2016-0230
09/06/2016,16/06/2016,China,CHN,"Sichuan Sheng, Yunnan Sheng, Chongqing Shi, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Anhui Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng, Zhejiang Sheng provinces",,,,Km2,Flood,--,--,--,25,254400,664000,0,,2016-0233
16/06/2016,23/06/2016,China,CHN,"Yancheng city (Jiangsu Sheng province), Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",,,,Kph,Storm,"Convective storm",--,--,99,45846,500000,0,,2016-0235
18/06/2016,23/06/2016,China,CHN,"Jiangsu Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Gansu Sheng, Shaanxi Sheng, Qinghai Sheng, Hubei Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hunan, Fujian provinces",247.532,112.95,197079.53,Km2,Flood,--,--,--,68,165000,3000000,60000,,2016-0236
23/06/2016,30/06/2016,China,CHN,"Chongqing Shi, Hubei Sheng, Sichuan Sheng, Shaanxi Sheng, Henan Sheng, Yunnan Sheng, Anhui Sheng, Zhejiang Sheng, Jiangsu Sheng, Guizhou Sheng provinces",,,,Km2,Flood,--,--,--,34,150000,675000,0,,2016-0238
28/06/2016,13/07/2016,China,CHN,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",27.976,114.24,720844.3,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,289,60000000,22000000,432000,,2016-0241
01/07/2016,01/07/2016,China,CHN,"Pianpo village (Bijie district, Guizhou Sheng province)",,,,,Landslide,Landslide,--,--,22,7,0,0,,2016-0250
07/07/2016,07/07/2016,China,CHN,"Kunlun mountain (Xinjiang Uygur Zizhiqu province)",,,,,Landslide,Landslide,--,--,35,0,0,0,,2016-0255
